0.40000000E+01  0.12000000E+02  0.94987000E+00 -0.73100000E-02  0.16206000E+00
0.40000000E+01  0.11000000E+02  0.82223000E+00 -0.21250000E-01 -0.53582000E-02
0.40000000E+01  0.10000000E+02  0.67216000E+00 -0.35370000E-01 -0.13084000E+00
0.40000000E+01  0.90000000E+01  0.57230000E+00 -0.42610000E-01 -0.20519000E+00
0.40000000E+01  0.80000000E+01  0.47220000E+00 -0.47530000E-01 -0.28539000E+00
0.40000000E+01  0.70000000E+01  0.37235000E+00 -0.48910000E-01 -0.28314000E+00
0.40000000E+01  0.60000000E+01  0.27230000E+00 -0.47230000E-01 -0.23005000E+00
0.40000000E+01  0.50000000E+01  0.17242000E+00 -0.42380000E-01 -0.14306000E+00
0.40000000E+01  0.40000000E+01  0.50170000E-01 -0.29740000E-01 -0.27097000E-01
0.40000000E+01  0.30000000E+01  0.19990000E-01 -0.22680000E-01  0.24903000E-01
0.40000000E+01  0.20000000E+01  0.61100000E-02 -0.13550000E-01  0.58044000E+00
0.40000000E+01  0.10000000E+01  0.00000000E+00  0.00000000E+00  0.75242000E+00
0.40000000E+01  0.34000000E+02  0.21000000E-02  0.78700000E-02  0.30352000E+00
0.40000000E+01  0.33000000E+02  0.89300000E-02  0.16190000E-01 -0.32376000E+00
0.40000000E+01  0.32000000E+02  0.20120000E-01  0.22760000E-01 -0.97606000E+00
0.40000000E+01  0.31000000E+02  0.35300000E-01  0.27010000E-01 -0.12058000E+01
0.40000000E+01  0.30000000E+02  0.60110000E-01  0.31270000E-01 -0.11614000E+01
0.40000000E+01  0.29000000E+02  0.10019000E+00  0.36230000E-01 -0.10580000E+01
0.40000000E+01  0.28000000E+02  0.15024000E+00  0.40780000E-01 -0.99635000E+00
0.40000000E+01  0.27000000E+02  0.20016000E+00  0.44100000E-01 -0.95448000E+00
0.40000000E+01  0.26000000E+02  0.25021000E+00  0.46470000E-01 -0.61798000E+00
0.40000000E+01  0.25000000E+02  0.30021000E+00  0.47990000E-01 -0.62830000E+00
0.40000000E+01  0.24000000E+02  0.35015000E+00  0.48790000E-01 -0.67705000E+00
0.40000000E+01  0.23000000E+02  0.39977000E+00  0.48850000E-01 -0.30331000E+00
0.40000000E+01  0.22000000E+02  0.45009000E+00  0.48130000E-01 -0.24510000E+00
0.40000000E+01  0.21000000E+02  0.50020000E+00  0.46480000E-01 -0.24407000E+00
0.40000000E+01  0.20000000E+02  0.55033000E+00  0.43930000E-01 -0.22227000E+00
0.40000000E+01  0.19000000E+02  0.60018000E+00  0.40780000E-01 -0.18133000E+00
0.40000000E+01  0.18000000E+02  0.65015000E+00  0.37110000E-01 -0.13901000E+00
0.40000000E+01  0.17000000E+02  0.70977000E+00  0.32220000E-01 -0.96623000E-01
0.40000000E+01  0.16000000E+02  0.78012000E+00  0.25620000E-01 -0.31278000E-01
0.40000000E+01  0.15000000E+02  0.85010000E+00  0.18150000E-01  0.42526000E-01
0.40000000E+01  0.14000000E+02  0.92005000E+00  0.10230000E-01  0.13193000E+00
0.40000000E+01  0.13000000E+02  0.98498000E+00  0.26700000E-02  0.22458000E+00
